outcome,set,learner,n,ev,nfeat,auc,sd,ap,zeroshot
death_30d,transferable,lr,3512,398,28,0.8663532821461192,0.001269457104397219,0.5227998750655126,0.8234250894808016
death_30d,transferable,gb,3512,398,28,0.898907941548892,0.0024123303754617974,0.6000389463791338,0.8234250894808016
death_30d,all,lr,3512,398,103,0.8799252094340252,0.0033494893935065743,0.5827448092703034,0.8234250894808016
death_30d,all,gb,3512,398,103,0.9191415760024699,0.0019222367273682304,0.6680346355740243,0.8234250894808016
composite_30d,transferable,lr,3512,548,28,0.834922147686266,0.0014130348315277031,0.5061992001394751,0.800252051380557
composite_30d,transferable,gb,3512,548,28,0.8473347854710704,0.0007161238148146942,0.5665347159780554,0.800252051380557
composite_30d,all,lr,3512,548,103,0.8408651178291976,0.0003265362688864209,0.5496907482749365,0.800252051380557
composite_30d,all,gb,3512,548,103,0.8650882774970367,0.0014753295117725497,0.5924663643746392,0.800252051380557
cv_first,transferable,lr,3136,172,28,0.8100814424253836,0.0010848279068400996,0.1601256700991621,0.7932888459969244
cv_first,transferable,gb,3136,172,28,0.7616762912050549,0.0069817375638685135,0.12556037160033495,0.7932888459969244
cv_first,all,lr,3136,172,103,0.7756416794819488,0.006107411761917027,0.15155435456713676,0.7932888459969244
cv_first,all,gb,3136,172,103,0.7840605352080261,0.0065673235932767315,0.17303496914232322,0.7932888459969244
death_30d_inhosp,transferable,lr,3512,242,28,0.8783750768738258,0.0008912187994106205,0.5269140990320772,0.8179720474132484
death_30d_inhosp,transferable,gb,3512,242,28,0.9124449246425894,0.0037584700586443726,0.563951412092092,0.8179720474132484
death_30d_inhosp,all,lr,3512,242,103,0.9077463542851367,0.002532505647755866,0.5920066198573841,0.8179720474132484
death_30d_inhosp,all,gb,3512,242,103,0.9421487603305785,0.002493593159123573,0.6552821513513374,0.8179720474132484
