window,outcome,set,n,ev,auc,ap
full,cv_first,base,2081,120,0.5445733469318376,0.07059178781450617
full,cv_first,base_cm,2081,120,0.5286751374015525,0.06456441832263071
full,cv_first,base_cm_dv,2081,120,0.5187595614482406,0.07185942961055686
full,composite_30d,base,2302,341,0.6848763498185289,0.2573851891021276
full,composite_30d,base_cm,2302,341,0.7034898008726372,0.2850418695072199
full,composite_30d,base_cm_dv,2302,341,0.7121309324595995,0.30590904955828196
full,death_30d,base,2302,237,0.720439104627047,0.22445477039172096
full,death_30d,base_cm,2302,237,0.7451752638407863,0.27172626256980364
full,death_30d,base_cm_dv,2302,237,0.7765579291861204,0.29721188865185505
full,death_30d_inhosp,base,2302,139,0.6885670381863719,0.12042538902509842
full,death_30d_inhosp,base_cm,2302,139,0.6930660741864206,0.13246664922938395
full,death_30d_inhosp,base_cm_dv,2302,139,0.7501549384625449,0.18401701861695957
pres,cv_first,base,1559,82,0.5928601703078642,0.08608078490336307
pres,cv_first,base_cm,1559,82,0.5602545260388284,0.07968667249617953
pres,cv_first,base_cm_dv,1559,82,0.5811687060675618,0.07268487362276749
pres,composite_30d,base,1707,230,0.7096911090832375,0.2730802427729483
pres,composite_30d,base_cm,1707,230,0.730747304073082,0.2954622731332182
pres,composite_30d,base_cm_dv,1707,230,0.7208712333068402,0.3026713654513099
pres,death_30d,base,1707,157,0.7325402369700705,0.21540394816426328
pres,death_30d,base_cm,1707,157,0.7684405177727553,0.27280360785917496
pres,death_30d,base_cm_dv,1707,157,0.7900691733442916,0.301531724650144
pres,death_30d_inhosp,base,1707,88,0.6623781047036142,0.09481283918853654
pres,death_30d_inhosp,base_cm,1707,88,0.6954699870851817,0.12053124269443101
pres,death_30d_inhosp,base_cm_dv,1707,88,0.7399301851123964,0.19916030490068246
