environment,python,package,version
fusion_env,3.9.25,joblib,1.5.3
fusion_env,3.9.25,matplotlib,3.7.5
fusion_env,3.9.25,numpy,1.26.4
fusion_env,3.9.25,pandas,2.0.3
fusion_env,3.9.25,pillow,11.3.0
fusion_env,3.9.25,scikit-learn,1.3.2
fusion_env,3.9.25,scipy,1.13.1
fusion_env,3.9.25,statsmodels,0.14.1
cxr_env,3.9.25,joblib,1.5.3
cxr_env,3.9.25,matplotlib,3.9.4
cxr_env,3.9.25,numpy,2.0.2
cxr_env,3.9.25,pandas,2.3.3
cxr_env,3.9.25,pillow,11.3.0
cxr_env,3.9.25,scikit-learn,1.6.1
cxr_env,3.9.25,scipy,1.13.1
cxr_env,3.9.25,torch,2.5.1+cu121
cxr_env,3.9.25,torchvision,0.20.1+cu121
cxr_env,3.9.25,torchxrayvision,1.5.2
ecg_bench_env,3.9.25,joblib,1.5.3
ecg_bench_env,3.9.25,matplotlib,3.9.4
ecg_bench_env,3.9.25,numpy,1.26.4
ecg_bench_env,3.9.25,pandas,2.0.3
ecg_bench_env,3.9.25,pillow,11.3.0
ecg_bench_env,3.9.25,scikit-learn,1.3.2
ecg_bench_env,3.9.25,scipy,1.13.1
ecg_bench_env,3.9.25,torch,2.5.1+cu121
ecg_bench_env,3.9.25,wfdb,4.1.2
ecg_env,3.9.25,joblib,1.5.3
ecg_env,3.9.25,lightgbm,3.3.5
ecg_env,3.9.25,matplotlib,3.9.4
ecg_env,3.9.25,numpy,2.0.2
ecg_env,3.9.25,pandas,2.3.3
ecg_env,3.9.25,pillow,11.3.0
ecg_env,3.9.25,scikit-learn,1.6.1
ecg_env,3.9.25,scipy,1.13.1
ecg_env,3.9.25,torch,2.5.1+cu121
ecg_env,3.9.25,torchvision,0.20.1+cu121
ecg_env,3.9.25,wfdb,4.3.1
deep_ecg_env,,,
fastai_ecg_env,,,
llm_env,3.9.25,joblib,1.5.3
llm_env,3.9.25,numpy,2.0.2
llm_env,3.9.25,pandas,2.3.3
llm_env,3.9.25,scikit-learn,1.6.1
llm_env,3.9.25,scipy,1.13.1
llm_env,3.9.25,torch,2.8.0
llm_env,3.9.25,transformers,4.46.3
