feature,beta,src,tgt,r_src,r_tgt,shift
mch,-0.7350441444218084,0.5008922511975684,0.5728327872567426,1.0,1.0,0.0
mcv,0.5417439494562584,0.36528530804107884,0.42887665715189927,3.0,2.0,1.0
heart_failure,0.3906572655996732,0.37670691003445445,0.33846106682972854,2.0,3.0,-1.0
aniongap,0.28181365132884734,0.20113437569764123,0.335363580421495,9.0,4.0,5.0
age,0.27728156230888673,0.22282145738926384,0.23286668516548578,6.0,5.0,1.0
sodium,-0.32400222869553846,0.21993279015268194,0.2262324576906429,7.0,6.0,1.0
sbp,-0.3141447805389944,0.23983072836513009,0.2104394346126654,4.0,7.0,-3.0
afib,0.2687052772025286,0.2270935044389514,0.21031697800425245,5.0,8.0,-3.0
hr,0.2654130025338702,0.20598029767150502,0.1574480100526533,8.0,9.0,-1.0
rbc,-0.1952088021154478,0.148497639632754,0.15486200141879436,10.0,10.0,0.0
mchc,0.1478224336443087,0.1062493855487468,0.13171209731789335,16.0,11.0,5.0
chloride,0.18417856784061834,0.12614339216547432,0.1306105673545277,13.0,12.0,1.0
rr,0.213172318800623,0.14574189284995911,0.12561045799380474,11.0,13.0,-2.0
copd,-0.17644223843550189,0.1330228000759639,0.12274679180738679,12.0,14.0,-2.0
cancer,0.11648308981986634,0.11623329788048568,0.119640029934649,14.0,15.0,-1.0
plt,-0.17190926256709116,0.11538933263749147,0.11871977242388089,15.0,16.0,-1.0
bicarb,0.14624016614056326,0.10273176694079493,0.10781664642453472,17.0,17.0,0.0
bun,0.11989374901372359,0.07644837385110229,0.09487578612721642,18.0,18.0,0.0
hgb,0.08545617575074246,0.06567681742897305,0.06955805544119989,19.0,19.0,0.0
creatinine,-0.10093016746267748,0.03987698939008843,0.054368486115870675,22.0,20.0,2.0
rdw,0.06466011091203878,0.04559053500760876,0.04495809911437736,20.0,21.0,-1.0
hct,-0.052497244962826185,0.04023835934886455,0.04133191300227463,21.0,22.0,-1.0
calcium,-0.051434652387984975,0.03592123856761487,0.03512600204964414,23.0,23.0,0.0
glucose,-0.035750621181510046,0.021800511002599693,0.02142227013788088,24.0,24.0,0.0
dbp,0.018273352194512933,0.014053146402553918,0.013214547406051722,25.0,25.0,0.0
temp,0.02722729971892067,0.012051427681160848,0.01137617558027496,26.0,26.0,0.0
wbc,0.038707333406378205,0.00903297604554354,0.00828055203816828,27.0,27.0,0.0
potassium,0.009812166150569821,0.006392933308089189,0.005538065205995964,28.0,28.0,0.0
