feature,beta,src,tgt,r_src,r_tgt,shift
hct,0.5378606768646325,0.41226222843937727,0.423466235594942,1.0,1.0,0.0
cancer,0.33886158272560213,0.33813491165204523,0.34804545418299154,2.0,2.0,0.0
aniongap,0.2781807515212109,0.1985415238917208,0.33104036087177974,11.0,3.0,8.0
age,0.3788308860284889,0.3044257592392708,0.31814986879468704,3.0,4.0,-1.0
mch,-0.3601565853003291,0.2454269504270587,0.28067634056012103,7.0,5.0,2.0
hgb,-0.34330558009777284,0.2638453886843072,0.2794375990257989,6.0,6.0,0.0
sodium,-0.3905590876232976,0.26511160187479427,0.27270535336181917,5.0,7.0,-2.0
bun,0.30846329789039634,0.19668679735562947,0.24409694516596697,12.0,8.0,4.0
hr,0.36591190444910365,0.28397494576534693,0.21706585834179665,4.0,9.0,-5.0
rbc,-0.26218513913329666,0.1994473296601349,0.20799531039811814,10.0,10.0,0.0
rr,0.3406204474894615,0.23287577411466961,0.20070847215028248,8.0,11.0,-3.0
sbp,-0.29081682197343256,0.22202122892206738,0.19481249214753296,9.0,12.0,-3.0
bicarb,0.23748160698043214,0.16682766263811113,0.17508507496858994,14.0,13.0,1.0
copd,-0.24461436890128221,0.18441892700175655,0.17017256910168257,13.0,14.0,-1.0
mcv,0.20847798770592538,0.14057184401483017,0.1650435460272571,17.0,15.0,2.0
creatinine,-0.28677488789515687,0.11330328136201431,0.1544782586105757,20.0,16.0,4.0
plt,-0.21572878402478657,0.1448019731316265,0.148981339121898,15.0,17.0,-2.0
chloride,0.20735800580714087,0.14201892517600684,0.1470483080713871,16.0,18.0,-2.0
afib,-0.16170811337949542,0.13666595068723617,0.12656975731485354,18.0,19.0,-1.0
calcium,-0.17941685245062036,0.12530220893326774,0.12252822628958547,19.0,20.0,-1.0
rdw,0.1595832380456127,0.11251891000687221,0.11095803783584499,21.0,21.0,0.0
mchc,0.12050491220596077,0.08661454531520603,0.10737175902506718,22.0,22.0,0.0
potassium,0.11653034705119326,0.07592316779343403,0.06577066170137878,23.0,23.0,0.0
heart_failure,0.04904090915285511,0.04728966021889828,0.04248849283449504,24.0,24.0,0.0
temp,-0.06973773152707477,0.03086752034990522,0.029137986014484172,25.0,25.0,0.0
glucose,-0.028772939959642124,0.017545563501753507,0.017241146366297797,26.0,26.0,0.0
wbc,0.0701748778370186,0.016376431407601977,0.015012316183108153,27.0,27.0,0.0
dbp,0.001513381256212467,0.0011638679170656483,0.0010944159637909724,28.0,28.0,0.0
