outcome,cohort,model,n,events,auc,ap
cv_first,TWO-WAY,EHR,3131,171,0.7922297297297296,0.1660097058365114
cv_first,TWO-WAY,ECG,3131,171,0.6848585427532795,0.12718218480658255
cv_first,TWO-WAY,MEAN2,3131,171,0.7745307807807807,0.17283490509774035
cv_first,THREE-WAY,EHR,869,54,0.7879118382185866,0.16806292069028808
cv_first,THREE-WAY,ECG,869,54,0.643694614860259,0.13513569812988258
cv_first,THREE-WAY,CXR,869,54,0.6494660304476255,0.0947042653712781
cv_first,THREE-WAY,MEAN2,869,54,0.7506816632583504,0.18292665229895633
cv_first,THREE-WAY,MEAN3,869,54,0.7559531924562599,0.1586334821056375
composite_30d,TWO-WAY,EHR,3507,547,0.8000191462028757,0.4081824290014952
composite_30d,TWO-WAY,ECG,3507,547,0.7207495429616088,0.30646399720674783
composite_30d,TWO-WAY,MEAN2,3507,547,0.7988910642818321,0.397999140255466
composite_30d,THREE-WAY,EHR,1025,210,0.7698510078878178,0.42374138183946064
composite_30d,THREE-WAY,ECG,1025,210,0.6979257960853054,0.3640388735941632
composite_30d,THREE-WAY,CXR,1025,210,0.6427987145778556,0.27747062110036946
composite_30d,THREE-WAY,MEAN2,1025,210,0.7691673970201578,0.4119261624858853
composite_30d,THREE-WAY,MEAN3,1025,210,0.767402862985685,0.40212177474076916
death_30d,TWO-WAY,EHR,3507,398,0.8232178906756362,0.424948323203988
death_30d,TWO-WAY,ECG,3507,398,0.7228923646860873,0.24218225200356738
death_30d,TWO-WAY,MEAN2,3507,398,0.8237225852646959,0.39231213730430714
death_30d,THREE-WAY,EHR,1025,161,0.7982876121463078,0.48490636969855794
death_30d,THREE-WAY,ECG,1025,161,0.7055368645042558,0.2968549616739083
death_30d,THREE-WAY,CXR,1025,161,0.6287310213940649,0.20983439226498854
death_30d,THREE-WAY,MEAN2,1025,161,0.7962747296986427,0.4351372349975766
death_30d,THREE-WAY,MEAN3,1025,161,0.7813578329882678,0.39481173456913876
death_30d_inhosp,TWO-WAY,EHR,3507,242,0.8177793527647348,0.3500172758660725
death_30d_inhosp,TWO-WAY,ECG,3507,242,0.7062913697745941,0.15367801030487538
death_30d_inhosp,TWO-WAY,MEAN2,3507,242,0.8094047814916532,0.27321994003565375
death_30d_inhosp,THREE-WAY,EHR,1025,106,0.7780195865070729,0.41088389305058837
death_30d_inhosp,THREE-WAY,ECG,1025,106,0.7020756770074116,0.23557448347700594
death_30d_inhosp,THREE-WAY,CXR,1025,106,0.6652637197938696,0.16047453697580696
death_30d_inhosp,THREE-WAY,MEAN2,1025,106,0.7808117929661035,0.34151143768144004
death_30d_inhosp,THREE-WAY,MEAN3,1025,106,0.7841737327283553,0.340637237691122
