outcome,model,n,events,auc,ap
cv_first,EHR,3131,171,0.7922297297297296,0.1660097058365114
cv_first,ECG,3131,171,0.6848585427532795,0.12718218480658255
cv_first,sPESI,3131,171,0.714785838470049,0.10354035888131391
cv_first,MEAN2,3131,171,0.7745307807807807,0.17283490509774035
cv_first,WMEAN2,3131,171,0.7954164691006796,0.1769384330117378
composite_30d,EHR,3507,547,0.8000191462028757,0.4081824290014952
composite_30d,ECG,3507,547,0.7207495429616088,0.30646399720674783
composite_30d,sPESI,3507,547,0.7383461386432135,0.29256787840148046
composite_30d,MEAN2,3507,547,0.7988910642818321,0.397999140255466
composite_30d,WMEAN2,3507,547,0.8088884702801522,0.4123578534931616
death_30d,EHR,3507,398,0.8232178906756362,0.424948323203988
death_30d,ECG,3507,398,0.7228923646860873,0.24218225200356738
death_30d,sPESI,3507,398,0.7416351619790816,0.22568378746640444
death_30d,MEAN2,3507,398,0.8237225852646959,0.39231213730430714
death_30d,WMEAN2,3507,398,0.8357617130360714,0.42351757384522887
death_30d_inhosp,EHR,3507,242,0.8177793527647348,0.3500172758660725
death_30d_inhosp,ECG,3507,242,0.7062913697745941,0.15367801030487538
death_30d_inhosp,sPESI,3507,242,0.7173800513839494,0.13954233891068127
death_30d_inhosp,MEAN2,3507,242,0.8094047814916532,0.27321994003565375
death_30d_inhosp,WMEAN2,3507,242,0.8254875779934947,0.3329888312847883
