outcome,var,level,n,ev,prev,auc,lo,hi,ap
death_30d,age,50-64,1015,93,0.0916256157635468,0.8133732185757937,0.7680679079019529,0.8538280743281123,0.32140393051990485
death_30d,age,65-79,1137,166,0.14599824098504838,0.825099574404725,0.7896593445691228,0.8582652584010717,0.47017571774338934
death_30d,age,80+,550,104,0.1890909090909091,0.7442652638840979,0.6838850155296367,0.7979144649184237,0.5042153422144166
death_30d,age,<50,805,35,0.043478260869565216,0.92278293135436,0.8909830027468356,0.9521597350212334,0.2981565380367655
death_30d,sex,F,1818,209,0.11496149614961496,0.8398467353195691,0.8147918300021656,0.8662669966396546,0.43137723743051204
death_30d,sex,M,1689,189,0.11190053285968028,0.8319365079365079,0.8033203529215037,0.8605569554018887,0.4199048096081561
composite_30d,age,50-64,1015,131,0.129064039408867,0.7825247832544645,0.7439864284123748,0.8178183942022054,0.3017222991030538
composite_30d,age,65-79,1137,218,0.1917326297273527,0.7864426830120493,0.7555361666582918,0.8166704532143415,0.4509980494767621
composite_30d,age,80+,550,149,0.27090909090909093,0.7165391889404007,0.6658776103221706,0.7630787598210896,0.4654133723375993
composite_30d,age,<50,805,49,0.06086956521739131,0.8742846344887161,0.8237993763502546,0.9172255339057683,0.42468667327024556
composite_30d,sex,F,1818,274,0.15071507150715072,0.8074522049090428,0.7846433371204254,0.8318577766102058,0.39737919285913936
composite_30d,sex,M,1689,273,0.16163410301953818,0.811862337286066,0.7870312966014438,0.8371347363615336,0.42897078237830033
cv_first,age,50-64,927,43,0.04638619201725998,0.7759917920656635,0.7082594336209406,0.8356556460950539,0.11853888115759668
cv_first,age,65-79,981,62,0.06320081549439348,0.7765979851872653,0.7172961851968978,0.8335191740147291,0.19977502851142812
cv_first,age,80+,452,51,0.11283185840707964,0.7048066109236711,0.6339894993956129,0.7726918130843342,0.20546180073606501
cv_first,age,<50,771,15,0.019455252918287938,0.8306878306878308,0.6801790586942814,0.9436927241022398,0.26264867284873433
cv_first,sex,F,1621,77,0.047501542257865514,0.7892638449633268,0.7326089088686931,0.8417110843230315,0.15434195704349327
cv_first,sex,M,1510,94,0.06225165562913907,0.8020382557999759,0.7557362776338303,0.8421283569075577,0.20826578853769237
death_30d_inhosp,age,50-64,1015,56,0.05517241379310345,0.7812825860271116,0.7082609528943439,0.8457645597599203,0.29351261443626264
death_30d_inhosp,age,65-79,1137,96,0.08443271767810026,0.8243725984630164,0.7731843476149691,0.868477185145252,0.3948441080695729
death_30d_inhosp,age,80+,550,66,0.12,0.7289788379664413,0.659743205412101,0.7967519554136792,0.3403454143232617
death_30d_inhosp,age,<50,805,24,0.02981366459627329,0.9335787451984635,0.8942438605657518,0.9642443560271147,0.24862454794635055
death_30d_inhosp,sex,F,1818,133,0.07315731573157316,0.833473148747239,0.7958088492495594,0.8690988562627582,0.3681066660482355
death_30d_inhosp,sex,M,1689,109,0.0645352279455299,0.815210196260597,0.7731859928700107,0.857200139455313,0.30279178889213454
