outcome,var,level,n,ev,prev,model_auc,m_lo,m_hi,spesi_auc,s_lo,s_hi,gap,model_ap,spesi_ap
death_30d,band,<50,805,35,0.043478260869565216,0.92278293135436,0.8909830027468356,0.9521597350212334,0.8292022263450836,0.762911364797357,0.8900414881835478,0.0935807050092764,0.2981565380367655,0.20271624668031413
death_30d,band,50-64,1015,93,0.0916256157635468,0.8133732185757937,0.7680679079019529,0.8538280743281123,0.7264770368297063,0.682601389676105,0.7695684195507799,0.08689618174608738,0.32140393051990485,0.17980190646411345
death_30d,band,65-79,1137,166,0.14599824098504838,0.825099574404725,0.7896593445691228,0.8582652584010717,0.7051729058354944,0.6683912879375474,0.7411094057809142,0.11992666856923062,0.47017571774338934,0.25867048462453246
death_30d,band,80+,550,104,0.1890909090909091,0.7442652638840979,0.6838850155296367,0.7979144649184237,0.632373232149017,0.5782207058388765,0.683995785922804,0.11189203173508089,0.5042153422144166,0.28266377349566413
death_30d,sex,F,1818,209,0.11496149614961496,0.8398467353195691,0.8147918300021656,0.8662669966396546,0.743097290658705,0.7129376622597909,0.7715889254525566,0.0967494446608641,0.43137723743051204,0.23286346308794525
death_30d,sex,M,1689,189,0.11190053285968028,0.8319365079365079,0.8033203529215037,0.8605569554018887,0.7355661375661375,0.702965467396668,0.7679966886556516,0.09637037037037033,0.4199048096081561,0.2341741319209714
composite_30d,band,<50,805,49,0.06086956521739131,0.8742846344887161,0.8237993763502546,0.9172255339057683,0.8154356980887592,0.7541717322268908,0.8701872798326729,0.05884893639995692,0.42468667327024556,0.21423219566606796
composite_30d,band,50-64,1015,131,0.129064039408867,0.7825247832544645,0.7439864284123748,0.8178183942022054,0.7033953922144313,0.6608831479095676,0.7422606902460267,0.07912939104003325,0.3017222991030538,0.22118382934797726
composite_30d,band,65-79,1137,218,0.1917326297273527,0.7864426830120493,0.7555361666582918,0.8166704532143415,0.6973150911940582,0.6646416486539652,0.7308081149272581,0.08912759181799113,0.4509980494767621,0.3142162053153794
composite_30d,band,80+,550,149,0.27090909090909093,0.7165391889404007,0.6658776103221706,0.7630787598210896,0.6225041423287418,0.5756971789401053,0.670874201787995,0.09403504661165885,0.4654133723375993,0.3568129565749897
composite_30d,sex,F,1818,274,0.15071507150715072,0.8074522049090428,0.7846433371204254,0.8318577766102058,0.7370348133580424,0.7097506663180874,0.7635979758415071,0.07041739155100035,0.39737919285913936,0.28221255055990285
composite_30d,sex,M,1689,273,0.16163410301953818,0.811862337286066,0.7870312966014438,0.8371347363615336,0.7299595414002193,0.7009773990168171,0.7603199064041342,0.0819027958858467,0.42897078237830033,0.3012213724881896
cv_first,band,<50,771,15,0.019455252918287938,0.8306878306878308,0.6801790586942814,0.9436927241022398,0.7754409171075838,0.6763427729148924,0.8565087883458095,0.055246913580247026,0.26264867284873433,0.047392075338105466
cv_first,band,50-64,927,43,0.04638619201725998,0.7759917920656635,0.7082594336209406,0.8356556460950539,0.6460591392191939,0.5741929589572508,0.7153114979645672,0.1299326528464696,0.11853888115759668,0.06616270430242606
cv_first,band,65-79,981,62,0.06320081549439348,0.7765979851872653,0.7172961851968978,0.8335191740147291,0.6651339113341992,0.6038913811786203,0.7298348270299028,0.11146407385306611,0.19977502851142812,0.09965771167554378
cv_first,band,80+,452,51,0.11283185840707964,0.7048066109236711,0.6339894993956129,0.7726918130843342,0.593345068700797,0.5259498305974274,0.6624830137807433,0.11146154222287419,0.20546180073606501,0.13703935107542906
cv_first,sex,F,1621,77,0.047501542257865514,0.7892638449633268,0.7326089088686931,0.8417110843230315,0.7163296548011574,0.6664447833773467,0.7655642912482106,0.0729341901621694,0.15434195704349327,0.08860711156784264
cv_first,sex,M,1510,94,0.06225165562913907,0.8020382557999759,0.7557362776338303,0.8421283569075577,0.6950467303762471,0.6464053061113734,0.7402395091881137,0.1069915254237288,0.20826578853769237,0.10623202929264605
death_30d_inhosp,band,<50,805,24,0.02981366459627329,0.9335787451984635,0.8942438605657518,0.9642443560271147,0.8066047801963294,0.7155934569775076,0.8886645411786381,0.1269739650021341,0.24862454794635055,0.1825989435658653
death_30d_inhosp,band,50-64,1015,56,0.05517241379310345,0.7812825860271116,0.7082609528943439,0.8457645597599203,0.6990447638909578,0.6337180502015473,0.7572935698214339,0.08223782213615383,0.29351261443626264,0.10819726833570308
death_30d_inhosp,band,65-79,1137,96,0.08443271767810026,0.8243725984630164,0.7731843476149691,0.868477185145252,0.6728256083893691,0.6217414799868501,0.7240303860078159,0.15154699007364725,0.3948441080695729,0.17780416785241296
death_30d_inhosp,band,80+,550,66,0.12,0.7289788379664413,0.659743205412101,0.7967519554136792,0.6001126972201352,0.5269535651200895,0.668614873811271,0.1288661407463061,0.3403454143232617,0.16768641516737084
death_30d_inhosp,sex,F,1818,133,0.07315731573157316,0.833473148747239,0.7958088492495594,0.8690988562627582,0.7081412730639655,0.6686960022862148,0.7460948936736264,0.12533187568327353,0.3681066660482355,0.1445588065455666
death_30d_inhosp,sex,M,1689,109,0.0645352279455299,0.815210196260597,0.7731859928700107,0.857200139455313,0.7231825571942863,0.6777455689949041,0.7702941440470321,0.09202763906631073,0.30279178889213454,0.15236772162659729
