code,beta,mean_abs_shap,mean_logit,direction,rank
AFIB,0.11283294046754903,0.08660395223977878,-5.628827237298904,Raises risk,1
ALMI,0.09841127021631452,0.06686471100048466,-6.2676649337852846,Raises risk,2
LMI,0.09325838970816595,0.06021945343252422,-5.494609303186066,Raises risk,3
ASMI,0.07520059968894977,0.0592502438090761,-3.9370611390884602,Raises risk,4
IRBBB,-0.06829909884822537,0.052656886471571865,-4.95823842403274,Lowers risk,5
SR,-0.0788193573178612,0.049106169864087716,1.2293814375941674,Lowers risk,6
HVOLT,-0.06588254919359052,0.04854740627563796,-9.818558741200127,Lowers risk,7
LVOLT,0.06827878702644119,0.047261314697235886,-4.947822272350492,Raises risk,8
SARRH,-0.06296795418511562,0.046640752716658435,-3.592641356695102,Lowers risk,9
STACH,0.05610572016556435,0.04654429592215587,-4.713661344452822,Raises risk,10
PVC,0.05933567262257741,0.04274524264502408,-3.1586264383424734,Raises risk,11
IMI,-0.05490466605975002,0.041277583598079315,-2.9223900761244708,Lowers risk,12
IVCD,0.049579308951463695,0.03602744934893736,-3.769480392671358,Raises risk,13
ANEUR,0.051409892553442756,0.03600417780226924,-7.684697102002797,Raises risk,14
NST_,0.048218196647693806,0.033619897348918716,-3.6314275126981364,Raises risk,15
RVH,-0.04465296140690178,0.03046537049622753,-9.632067044112109,Lowers risk,16
LOWT,0.041823882086677276,0.030344673208867846,-6.698617701270249,Raises risk,17
BIGU,0.042357026414749914,0.030160002878289755,-7.972629527887834,Raises risk,18
ISCIL,0.04062401625709168,0.027858540702706366,-7.8979596174408435,Raises risk,19
TAB_,-0.043758125410082366,0.027387821451140545,-6.890140897190879,Lowers risk,20
ILMI,0.04005393878306677,0.026722488387939353,-5.92745399898798,Raises risk,21
LAO/LAE,-0.03602937359759184,0.025647030291543416,-5.197877561681733,Lowers risk,22
CLBBB,0.03816747317271421,0.025255378726176073,-12.218160983970037,Raises risk,23
LNGQT,-0.038144352271549574,0.024902303393209424,-5.454009841116056,Lowers risk,24
ABQRS,0.03223322414801772,0.024763093584306502,-1.879550922557914,Raises risk,25
EL,-0.034331215864169394,0.024453644333903832,-7.036478035857616,Lowers risk,26
DIG,0.0314124418173402,0.022855424145613704,-9.1033299935274,Raises risk,27
2AVB,0.032978960309844915,0.02265040052278352,-12.398461275913604,Raises risk,28
INJAS,-0.030406267917145596,0.022455624767232788,-8.179742643584223,Lowers risk,29
VCLVH,-0.03056137269395908,0.02239495361814871,-6.513418215396286,Lowers risk,30
SVTAC,0.03462646860320232,0.02192985220960538,-11.606690155904898,Raises risk,31
RAO/RAE,-0.03401084802728318,0.021636799676987027,-6.873158816850256,Lowers risk,32
SVARR,0.03310637035749353,0.021227260820534163,-5.864547882666512,Raises risk,33
ISC_,0.027464737659217243,0.020371516698805207,-7.244624764086143,Raises risk,34
PACE,0.02656342613674295,0.01863891455963499,-7.6911515190663415,Raises risk,35
ILBBB,0.02819997632245425,0.018548521923475846,-8.9957749911345,Raises risk,36
AFLT,0.029159153343022607,0.018238159923706886,-10.315224376225009,Raises risk,37
WPW,0.03294965810338961,0.01709418926680086,-9.307942366557237,Raises risk,38
PRC(S),0.02507390620435439,0.015790136580476313,-10.70054020602704,Raises risk,39
ISCAS,-0.023252016119205975,0.015775648807195196,-7.3825215768934935,Lowers risk,40
LPR,-0.021413110576319293,0.01572378042597271,-8.303012306989588,Lowers risk,41
NT_,0.020494760092798728,0.015307166759238414,-5.312505944486684,Raises risk,42
INVT,0.02096177420724415,0.01483353600589394,-7.221902626415462,Raises risk,43
PSVT,0.02409395330990652,0.014822121694366221,-10.52935757402242,Raises risk,44
ISCIN,0.024450165018125237,0.014543514923890416,-6.157416908028926,Raises risk,45
CRBBB,-0.020272885556739572,0.014210727105738232,-10.32510899512484,Lowers risk,46
NDT,0.01787233033139852,0.01378062710555181,-2.7000302142775534,Raises risk,47
IPLMI,0.021478955651641835,0.01359444326246755,-8.611079974286042,Raises risk,48
SEHYP,-0.01909713654965224,0.01240561525525988,-9.196857736140633,Lowers risk,49
1AVB,0.017135976827282736,0.012256155626572214,-5.798911028274414,Raises risk,50
3AVB,0.0171067641389649,0.011689481042053924,-12.33446336886393,Raises risk,51
PMI,0.01608298199204142,0.010062507826279436,-9.815826762790474,Raises risk,52
PAC,0.01169916336141171,0.008947976538262582,-5.042154586119971,Raises risk,53
ISCLA,0.01180600193350004,0.007977724955103025,-7.14582138156208,Raises risk,54
STD_,0.010108594574387932,0.00780118162958527,-5.215902847531438,Raises risk,55
ISCAL,0.01059139649669779,0.007507839903969464,-6.6131797049624765,Raises risk,56
AMI,0.010159832471266098,0.006958702632228006,-4.694901343780579,Raises risk,57
LPFB,0.009638450616044233,0.00679324955507997,-8.801343677772453,Raises risk,58
INJIN,-0.009531727964823926,0.006405265265711043,-12.418664324090061,Lowers risk,59
LVH,-0.00846105535287324,0.006346976102946276,-6.2568376945803195,Lowers risk,60
ISCAN,0.009984243387899668,0.006287731587638902,-7.640063504827804,Raises risk,61
INJAL,-0.008356826984897654,0.006233116593017941,-9.407518215932724,Lowers risk,62
INJIL,0.007431373644445074,0.00529267448306943,-14.336149982118936,Raises risk,63
STE_,-0.007993259411383244,0.004618927464437047,-7.562551971564659,Lowers risk,64
QWAVE,0.004890468039331575,0.003511882267600065,-5.106916586599464,Raises risk,65
IPMI,-0.004059738900184732,0.0023872350627224858,-8.745522945109915,Lowers risk,66
NORM,-0.010800864026038656,0.002239265243955181,-0.33262541689657105,Lowers risk,67
LAFB,0.003083447599604577,0.002237755218051474,-5.514892560075751,Raises risk,68
TRIGU,0.0025427159716427472,0.0017871877128518804,-9.52360888646287,Raises risk,69
INJLA,0.0021645041813912217,0.001491003299075322,-12.568705319065973,Raises risk,70
SBRAD,-0.0006934589720320299,0.00048251718818375934,-5.799712247512783,Lowers risk,71
