code,beta,mean_abs_shap,mean_logit,direction,rank
AFIB,0.10590604569207304,0.08044011062020458,-5.870180898631461,Raises risk,1
PVC,0.09530279364998316,0.06829785733093123,-3.217686267959722,Raises risk,2
RAO/RAE,-0.06549680560858201,0.0410357234283522,-6.944269792285644,Lowers risk,3
SARRH,-0.05564562423486468,0.040706494446231783,-3.559621676612815,Lowers risk,4
PACE,0.0570524499683432,0.039641469430536216,-7.806210641242694,Raises risk,5
TAB_,-0.061014927388286476,0.037514749963534835,-6.911380567599529,Lowers risk,6
SBRAD,-0.048513391885543176,0.033430506749485826,-5.82828766630236,Lowers risk,7
PAC,-0.03965369245061659,0.030239980750909307,-5.078317191819516,Lowers risk,8
VCLVH,0.041053046237932427,0.030092514438006916,-6.518353551180824,Raises risk,9
LVH,0.0379893231482271,0.02849345201531214,-6.2727287645170255,Raises risk,10
LAFB,0.039435675888372074,0.028480703107393278,-5.606636115118521,Raises risk,11
STACH,-0.033684857017883624,0.027667822716646605,-4.924502770294151,Lowers risk,12
ISC_,0.03719479704696364,0.027476175270972188,-7.349721050145094,Raises risk,13
CLBBB,0.04210574475687631,0.02729992090182183,-12.42771566264846,Raises risk,14
ASMI,0.03477536660375753,0.02719095122871113,-4.131170143757642,Raises risk,15
LNGQT,-0.04158343178168729,0.026799698793564898,-5.47676843991919,Lowers risk,16
HVOLT,-0.03643226204815426,0.02675922192571118,-9.771859610552855,Lowers risk,17
DIG,0.03659915060146412,0.026382510225617977,-9.271264390097372,Raises risk,18
3AVB,0.03797085554806839,0.025557793630161085,-12.547626733263511,Raises risk,19
EL,-0.03582338023722128,0.02531740415936251,-7.055214704925679,Lowers risk,20
BIGU,0.03536059246274934,0.024950438625529977,-8.100835076324245,Raises risk,21
IVCD,0.03371770353317524,0.024198160494854362,-3.825225010937134,Raises risk,22
SR,-0.040697748202965345,0.024184678071632652,1.413872354680956,Lowers risk,23
LAO/LAE,-0.03235456777051832,0.02292462084025593,-5.233081924701216,Lowers risk,24
ILMI,0.03375696234855375,0.02231345685510293,-6.098423206206071,Raises risk,25
ILBBB,0.033686656059594054,0.021789526735357466,-9.156699638273295,Raises risk,26
SVARR,0.03384268734201679,0.02141576993080534,-5.93171341297814,Raises risk,27
STE_,-0.03725941991010945,0.021001304272985084,-7.575506249052258,Lowers risk,28
ANEUR,0.029410813161753473,0.020306590157750458,-7.840490467276656,Raises risk,29
ALMI,0.02905698434745413,0.01937466292540582,-6.453818110612351,Raises risk,30
ABQRS,0.02482933921053521,0.018998839068261924,-1.9701224670330244,Raises risk,31
1AVB,0.02626600966885549,0.018613287490189978,-5.909972417026607,Raises risk,32
ISCIL,0.025834439994019253,0.01749092652346939,-8.056993593985846,Raises risk,33
LMI,0.027048599566251472,0.017048001536156807,-5.623831679447448,Raises risk,34
ISCAL,0.023364469264724727,0.01646234077272211,-6.766068333788914,Raises risk,35
NST_,0.02200214372329402,0.015167014774781107,-3.7215608607894395,Raises risk,36
ISCLA,0.022451027954769658,0.01508698229679662,-7.296410639469856,Raises risk,37
SEHYP,-0.023522985794900676,0.015069679765730346,-9.253472430518913,Lowers risk,38
LOWT,0.020264924247663366,0.014675051319833503,-6.846612847237419,Raises risk,39
AFLT,0.022186606260196994,0.01353237875496236,-10.570295991475732,Raises risk,40
2AVB,0.01938212909368645,0.013058548890962501,-12.636852936434376,Raises risk,41
IRBBB,-0.015773500618656,0.01215834120857337,-4.944650016383956,Lowers risk,42
ISCIN,0.02066432785605274,0.012054415106966204,-6.252068717004034,Raises risk,43
CRBBB,0.017225053785865235,0.011960354813089526,-10.483789898432892,Raises risk,44
LVOLT,-0.01684283720266805,0.01154458995219407,-5.041982024572541,Lowers risk,45
INJAS,-0.01481745258435852,0.010847261079049167,-8.308500346360212,Lowers risk,46
RVH,-0.016033178744351888,0.01083071358436152,-9.729061283568152,Lowers risk,47
NDT,0.013056179250031079,0.01000401992340606,-2.7468523140125165,Raises risk,48
SVTAC,0.015795250363110747,0.009732718658796692,-11.833597797603218,Raises risk,49
WPW,0.01706173002556868,0.008669767345324052,-9.410967269350442,Raises risk,50
INJAL,0.010979052993363074,0.008111859286561796,-9.559465755130041,Raises risk,51
INJIL,0.010544782362534097,0.0074339352046463155,-14.572201011828389,Raises risk,52
IPMI,0.011286053831662738,0.006547923541738394,-8.886197857100957,Raises risk,53
IPLMI,0.009346902633553261,0.005814965927249368,-8.747963332901463,Raises risk,54
QWAVE,-0.00765313550311438,0.005440624639860882,-5.172951290908304,Lowers risk,55
IMI,0.0064845299988312,0.004858635867736125,-2.96410659504285,Raises risk,56
INVT,0.006894051581286751,0.004825689945094206,-7.3697501250569735,Raises risk,57
PRC(S),0.007703387509540653,0.004766343294123829,-10.876158740411602,Raises risk,58
NT_,-0.00508444326444117,0.003783169447574052,-5.37615765255583,Lowers risk,59
INJLA,0.005401341378174255,0.0036826804977263994,-12.747834207066571,Raises risk,60
PSVT,0.005300264211521024,0.003177075428176121,-10.69037365271234,Raises risk,61
TRIGU,-0.004499935739503134,0.0031306143079548243,-9.614615712869627,Lowers risk,62
AMI,0.003443555240853808,0.0023360821942113963,-4.7735557501457135,Raises risk,63
ISCAS,-0.002556196580685612,0.0017259232150642447,-7.517494175548655,Lowers risk,64
STD_,0.0022415067913106024,0.0017239648094025401,-5.294121144558365,Raises risk,65
PMI,0.002526997281735743,0.0015473158340687891,-9.948862190555163,Raises risk,66
INJIN,0.002223988625678682,0.001471594128587881,-12.603052942397126,Raises risk,67
LPR,-0.0016225377056443605,0.0011795330902964667,-8.359300473201094,Lowers risk,68
NORM,-0.004885294787233701,0.0010001400228094876,-0.07198634640753555,Lowers risk,69
ISCAN,0.0012080997586512762,0.000755454602957316,-7.81261562778826,Raises risk,70
LPFB,0.0007381253735318287,0.0005129909838304986,-8.95101489348523,Raises risk,71
