code,beta,mean_abs_shap,mean_logit,direction,rank
STACH,0.08941315840346495,0.07417554737350565,-4.713661344452822,Raises risk,1
ALMI,0.10762245874900173,0.0731231756850204,-6.2676649337852846,Raises risk,2
LVOLT,0.09707874140126971,0.06719611093852979,-4.947822272350492,Raises risk,3
IRBBB,-0.08711983958809523,0.06716720395983788,-4.95823842403274,Lowers risk,4
LMI,0.09981381056410998,0.06445246519908439,-5.494609303186066,Raises risk,5
ASMI,0.07807652073050321,0.061516170192542595,-3.9370611390884602,Raises risk,6
AFIB,0.07858922416457913,0.0603204825462112,-5.628827237298904,Raises risk,7
VCLVH,-0.07235600487614507,0.05302148530507955,-6.513418215396286,Lowers risk,8
IMI,-0.06718151998838237,0.050507379546734205,-2.9223900761244708,Lowers risk,9
HVOLT,-0.06669815807697964,0.049148410582674745,-9.818558741200127,Lowers risk,10
SR,-0.07459501231656541,0.04647431126669298,1.2293814375941674,Lowers risk,11
NST_,0.05601466192019519,0.03905594391161079,-3.6314275126981364,Raises risk,12
SARRH,-0.05166060238149365,0.03826532737248143,-3.592641356695102,Lowers risk,13
ANEUR,0.05232950585070949,0.03664821572998333,-7.684697102002797,Raises risk,14
IVCD,0.050287481215326876,0.03654205193026075,-3.769480392671358,Raises risk,15
LVH,-0.04398340486926381,0.03299371153938019,-6.2568376945803195,Lowers risk,16
LOWT,0.04255579776026996,0.03087570334819327,-6.698617701270249,Raises risk,17
ISCIL,0.0410788861822878,0.028170474713497356,-7.8979596174408435,Raises risk,18
CLBBB,0.04185731739051617,0.027696944945126072,-12.218160983970037,Raises risk,19
SVTAC,0.04297339772290596,0.027216181696355975,-11.606690155904898,Raises risk,20
RVH,-0.038976268586467355,0.02659233398266096,-9.632067044112109,Lowers risk,21
PAC,0.03288032054172834,0.025148151854034507,-5.042154586119971,Raises risk,22
ILMI,0.037634451459097926,0.0251082970278912,-5.92745399898798,Raises risk,23
NT_,0.029814666408649177,0.022268036733380205,-5.312505944486684,Raises risk,24
2AVB,0.03070047694530939,0.0210855070177623,-12.398461275913604,Raises risk,25
INVT,0.027695686634013804,0.019598768731686023,-7.221902626415462,Raises risk,26
PSVT,0.03180269670561662,0.01956438757544426,-10.52935757402242,Raises risk,27
BIGU,0.026883127416218143,0.01914192918812232,-7.972629527887834,Raises risk,28
AFLT,0.030496918991408082,0.01907489148270237,-10.315224376225009,Raises risk,29
ILBBB,0.028422483491244845,0.018694875915098046,-8.9957749911345,Raises risk,30
ABQRS,0.024176866556531014,0.018573817076610565,-1.879550922557914,Raises risk,31
LPR,-0.024266169679051167,0.017818799489820927,-8.303012306989588,Lowers risk,32
PRC(S),0.02705524335879692,0.017037871338102018,-10.70054020602704,Raises risk,33
CRBBB,-0.024181928045342638,0.01695085681715993,-10.32510899512484,Lowers risk,34
LNGQT,-0.02408155606026111,0.01572149425749946,-5.454009841116056,Lowers risk,35
DIG,0.02133954394177966,0.01552646975677336,-9.1033299935274,Raises risk,36
ISCAS,-0.02263600184733433,0.015357705487207555,-7.3825215768934935,Lowers risk,37
INJAS,-0.02035500611083012,0.015032570935869089,-8.179742643584223,Lowers risk,38
LPFB,0.021263510213269818,0.014986675457493543,-8.801343677772453,Raises risk,39
WPW,0.028539177874654965,0.01480604462047698,-9.307942366557237,Raises risk,40
LAFB,-0.019888729491893856,0.014433878560675788,-5.514892560075751,Lowers risk,41
IPLMI,0.021871862209729365,0.01384312136386137,-8.611079974286042,Raises risk,42
EL,-0.01861400094964593,0.013258492232098589,-7.036478035857616,Lowers risk,43
STD_,0.01616597042792523,0.012475885801799024,-5.215902847531438,Raises risk,44
NDT,0.015939185487686452,0.012290057731651278,-2.7000302142775534,Raises risk,45
ISCIN,0.019577501699174302,0.011645143823093236,-6.157416908028926,Raises risk,46
SVARR,0.01770293033919624,0.011350828119785356,-5.864547882666512,Raises risk,47
LAO/LAE,-0.015584912548662943,0.011093912669448393,-5.197877561681733,Lowers risk,48
PMI,0.01728651534308773,0.010815512696277091,-9.815826762790474,Raises risk,49
PVC,0.014734176165050789,0.01061445682693718,-3.1586264383424734,Raises risk,50
ISCAN,0.01571428800778083,0.00989631574922617,-7.640063504827804,Raises risk,51
QWAVE,0.013502450460515021,0.009696212297077445,-5.106916586599464,Raises risk,52
1AVB,0.013306952029020684,0.009517524248944148,-5.798911028274414,Raises risk,53
AMI,0.013522592702677803,0.009261934357756664,-4.694901343780579,Raises risk,54
SBRAD,0.012911353914175666,0.008983877111082592,-5.799712247512783,Raises risk,55
SEHYP,-0.01378939227846773,0.00895767251628293,-9.196857736140633,Lowers risk,56
TAB_,-0.011534525753127042,0.007219357065452298,-6.890140897190879,Lowers risk,57
ISC_,0.009588766450969363,0.00711230954763224,-7.244624764086143,Raises risk,58
ISCLA,0.009320488825681698,0.006298177547083961,-7.14582138156208,Raises risk,59
INJAL,-0.007637356475805059,0.005696484259176815,-9.407518215932724,Lowers risk,60
STE_,0.009249696172482353,0.0053449629856794035,-7.562551971564659,Raises risk,61
ISCAL,0.006777400231373173,0.004804242379004506,-6.6131797049624765,Raises risk,62
NORM,-0.018494898202859687,0.0038344138613642252,-0.33262541689657105,Lowers risk,63
IPMI,-0.0063840883360535665,0.0037540147024359718,-8.745522945109915,Lowers risk,64
TRIGU,0.005270544175511192,0.0037044844550337707,-9.52360888646287,Raises risk,65
INJIL,0.0051768890189827456,0.003687015311487319,-14.336149982118936,Raises risk,66
INJIN,-0.005451021812723269,0.0036630546747160103,-12.418664324090061,Lowers risk,67
RAO/RAE,0.005720711870170867,0.003639365200343003,-6.873158816850256,Raises risk,68
INJLA,0.002649733265497363,0.0018252498999502356,-12.568705319065973,Raises risk,69
PACE,-0.0008822018262590574,0.0006190197145259025,-7.6911515190663415,Lowers risk,70
3AVB,0.00029437404082682193,0.00020115316617243993,-12.33446336886393,Raises risk,71
